"nombre_partido","v2pashname","country_name","year","ep_antielite_salience"
"Citizens for European Development of Bulgaria","GERB","Bulgaria",2014,5
"Movement for Rights and Freedoms","DPS","Bulgaria",2014,4
"Democrats for a Strong Bulgaria","DSB","Bulgaria",2014,5
"Coalition for Bulgaria -- Democratic Left","KzB/BSP","Bulgaria",2014,4
"National Front for the Salvation of Bulgaria","NFSB","Bulgaria",2014,8
"Bulgaria for Citizens Movement","BNG","Bulgaria",2014,5
"Bulgaria Without Censorship","BBZ","Bulgaria",2014,9
"Czech Social Democratic Party","CSSD","Czech Republic",2017,2
"Tradition Responsibility Prosperity 09","TOP09","Czech Republic",2017,2
"Civic Democratic Party","ODS","Czech Republic",2017,2
"Christian Democratic Union / People's Party","KDU/CSL","Czech Republic",2017,2
"Mayors and Independents -- Your Option","SN-VA","Czech Republic",2017,2
"Communist Party of Bohemia and Moravia","KSCM","Czech Republic",2017,7
"Czech Pirate Party","Pi","Czech Republic",2017,8
"Action of Dissatisfied Citizens","ANO","Czech Republic",2017,9
"Freedom and Direct Democracy Tomio Okamura","SPD","Czech Republic",2017,10
"Socialist Peoples Party","SF","Denmark",2019,2
"Social Democrats","SD","Denmark",2019,3
"Conservative People's Party","KF","Denmark",2019,2
"Danish Peoples Party","DF","Denmark",2019,6
"Liberal Party","V","Denmark",2019,3
"Danish Social-Liberal Party / Radical Liberal Party","RV","Denmark",2019,2
"Red-Green Alliance","Enh","Denmark",2019,4
"Estonian Centre Party","EK","Estonia",2019,2
"Pro Patria Union","I","Estonia",2019,3
"Estonian Reform Party","ERe","Estonia",2019,1
"Social Democratic Party -- Moderates","SDE-M","Estonia",2019,1
"Green League","VIHR","Finland",2019,3
"National Coalition Party","KOK","Finland",2019,2
"Agrarian Union / Centre Party","KESK","Finland",2019,2
"Social Democratic Party of Finland","SSDP","Finland",2019,2
"Communist Party of Greece","KKE","Greece",2019,8
"Coalition of the Radical Left","SYRIZA","Greece",2019,7
"New Democracy","ND","Greece",2019,2
"Panhellenic Socialist Movement","PASOK","Greece",2019,2
"Democratic Party of Retired People of Slovenia","DeSUS","Slovenia",2014,4
"Slovenian Democratic Party","SDS","Slovenia",2014,7
"Social Democrats / United List of Social Democrats","SD / ZLSD","Slovenia",2014,4
"New Slovenia -- Christian People's Party","NSi","Slovenia",2014,6
"Party of Miro Cerar / Modern Center Party","SMC","Slovenia",2014,5
"United Left","ZdLe","Slovenia",2014,7
"Movement for a Better Hungary","Jobbik","Hungary",2014,9
"Democratic Coalition","DK","Hungary",2014,4
"Hungarian Socialist Party","MSZP","Hungary",2014,4
"Politics Can Be Different","LMP","Hungary",2014,7
"Fidesz – Hungarian Civic Alliance","Fidesz","Hungary",2014,5
"Together -- Party for a New Era","Egyutt","Hungary",2014,5
